Dates,log_inflow
1/5/1930,2.759637632
1/12/1930,2.815338621
1/19/1930,3.586997778
1/26/1930,3.379031617
2/2/1930,3.217402342
2/9/1930,3.843954341
2/16/1930,3.305907856
2/23/1930,3.093116872
3/2/1930,2.966057213
3/9/1930,3.042976941
3/16/1930,2.890901439
3/23/1930,2.988630293
3/30/1930,2.871946362
4/6/1930,3.20490101
4/13/1930,3.340775163
4/20/1930,3.028371952
4/27/1930,2.922590531
5/4/1930,2.562994308
5/11/1930,1.973497309
5/18/1930,2.56816651
5/25/1930,2.820148894
6/1/1930,2.36470105
6/8/1930,2.83049885
6/15/1930,2.959880535
6/22/1930,3.22201896
6/29/1930,2.684126926
7/6/1930,1.723291446
7/13/1930,1.723291446
7/20/1930,1.723291446
7/27/1930,1.723291446
8/3/1930,2.702180573
8/10/1930,2.678354463
8/17/1930,2.454936281
8/24/1930,2.32697045
8/31/1930,2.164887958
9/7/1930,2.189546457
9/14/1930,2.630580411
9/21/1930,2.704365036
9/28/1930,2.326007968
10/5/1930,2.439758883
10/12/1930,2.384944498
10/19/1930,2.298743943
10/26/1930,2.191059582
11/2/1930,2.15812115
11/9/1930,2.086644521
11/16/1930,2.105850674
11/23/1930,2.281510601
11/30/1930,2.133187499
12/7/1930,2.443388171
12/14/1930,2.461633566
12/21/1930,2.169733198
12/28/1930,3.112608353
1/4/1931,2.87852754
1/11/1931,3.313740708
1/18/1931,3.03741056
1/25/1931,3.212187604
2/1/1931,2.749689947
2/8/1931,2.756187131
2/15/1931,2.927852645
2/22/1931,3.109632535
3/1/1931,2.866009538
3/8/1931,2.125448733
3/15/1931,2.009663317
3/22/1931,2.045127307
3/29/1931,2.535977311
4/5/1931,3.521309413
4/12/1931,3.677241846
4/19/1931,2.821238323
4/26/1931,3.065542371
5/3/1931,2.907207065
5/10/1931,3.00517193
5/17/1931,2.470072215
5/24/1931,3.387761665
5/31/1931,2.482201622
6/7/1931,2.912328358
6/14/1931,2.680797669
6/21/1931,2.899410081
6/28/1931,2.972822816
7/5/1931,2.495599835
7/12/1931,2.562554552
7/19/1931,2.451648299
7/26/1931,3.196690068
8/2/1931,3.128143916
8/9/1931,3.294314086
8/16/1931,4.06512726
8/23/1931,3.404614804
8/30/1931,3.156857954
9/6/1931,2.825536463
9/13/1931,2.648155015
9/20/1931,2.484869033
9/27/1931,2.726156466
10/4/1931,2.270492504
10/11/1931,2.165422401
10/18/1931,2.587362941
10/25/1931,2.313382058
11/1/1931,2.112605002
11/8/1931,2.139879086
11/15/1931,2.067480024
11/22/1931,2.352819017
11/29/1931,1.839980558
12/6/1931,1.985606083
12/13/1931,2.55946373
12/20/1931,2.192818257
12/27/1931,2.701895956
1/3/1932,2.92917872
1/10/1932,3.936309113
1/17/1932,3.15677926
1/24/1932,2.737653736
1/31/1932,3.248929134
2/7/1932,3.59736166
2/14/1932,3.330632895
2/21/1932,3.148904828
2/28/1932,3.28723947
3/6/1932,3.577172281
3/13/1932,3.41453382
3/20/1932,2.737208551
3/27/1932,2.907013434
4/3/1932,3.569169005
4/10/1932,3.222784081
4/17/1932,3.241977075
4/24/1932,2.941516402
5/1/1932,3.017421525
5/8/1932,3.055947587
5/15/1932,2.944181523
5/22/1932,2.769015263
5/29/1932,2.799698867
6/5/1932,2.48689782
6/12/1932,2.135736744
6/19/1932,2.534901432
6/26/1932,2.259426627
7/3/1932,2.972568455
7/10/1932,2.078964045
7/17/1932,1.625003601
7/24/1932,1.460145817
7/31/1932,1.293583514
8/7/1932,2.168556407
8/14/1932,2.536798248
8/21/1932,2.087426457
8/28/1932,1.804071249
9/4/1932,1.961800639
9/11/1932,2.063108083
9/18/1932,1.921998431
9/25/1932,0.526339277
10/2/1932,1.727622578
10/9/1932,2.097847077
10/16/1932,1.898560645
10/23/1932,3.40996185
10/30/1932,2.341018828
11/6/1932,2.821906377
11/13/1932,3.214690229
11/20/1932,2.952031641
11/27/1932,3.312849865
12/4/1932,2.9192978
12/11/1932,2.800833882
12/18/1932,3.676466803
12/25/1932,3.81136451
1/1/1933,3.826044984
1/8/1933,3.17681159
1/15/1933,3.664863766
1/22/1933,3.232886888
1/29/1933,3.386384803
2/5/1933,3.055939951
2/12/1933,3.347082055
2/19/1933,3.603329531
2/26/1933,3.407905633
3/5/1933,3.029598842
3/12/1933,2.978326627
3/19/1933,2.906518204
3/26/1933,3.199604354
4/2/1933,2.835620825
4/9/1933,3.165552943
4/16/1933,3.642786906
4/23/1933,3.844186928
4/30/1933,3.16554701
5/7/1933,2.611287733
5/14/1933,2.911008378
5/21/1933,2.149680882
5/28/1933,2.324303037
6/4/1933,2.551413399
6/11/1933,2.695359076
6/18/1933,2.253919261
6/25/1933,2.422409257
7/2/1933,2.213438063
7/9/1933,2.149865453
7/16/1933,2.375645327
7/23/1933,2.097500252
7/30/1933,2.23884868
8/6/1933,2.844340466
8/13/1933,2.498020928
8/20/1933,2.374601724
8/27/1933,2.74548858
9/3/1933,2.230653247
9/10/1933,2.30427505
9/17/1933,1.74390155
9/24/1933,1.385069776
10/1/1933,1.417471693
10/8/1933,2.000347297
10/15/1933,1.737192643
10/22/1933,2.089233731
10/29/1933,1.385963571
11/5/1933,1.926085087
11/12/1933,1.983400738
11/19/1933,1.983400738
11/26/1933,1.983400738
12/3/1933,1.888291845
12/10/1933,1.823865309
12/17/1933,1.716670976
12/24/1933,2.070739563
12/31/1933,2.207984247
1/7/1934,2.017409009
1/14/1934,1.93358851
1/21/1934,1.917872955
1/28/1934,1.991181758
2/4/1934,1.852601969
2/11/1934,1.537315273
2/18/1934,1.2757719
2/25/1934,1.454082271
3/4/1934,3.388735121
3/11/1934,3.045944631
3/18/1934,2.558024198
3/25/1934,3.086655193
4/1/1934,3.526760442
4/8/1934,3.278234423
4/15/1934,4.236828876
4/22/1934,3.713171215
4/29/1934,3.013165983
5/6/1934,2.432953265
5/13/1934,2.140067869
5/20/1934,2.993308348
5/27/1934,2.81723473
6/3/1934,3.342683179
6/10/1934,3.687028387
6/17/1934,2.953580913
6/24/1934,3.42742768
7/1/1934,2.950282077
7/8/1934,3.343672439
7/15/1934,2.887037479
7/22/1934,2.83394991
7/29/1934,3.706654639
8/5/1934,3.433358539
8/12/1934,3.037207303
8/19/1934,2.493722869
8/26/1934,3.347433453
9/2/1934,2.999756727
9/9/1934,3.460341469
9/16/1934,2.993074535
9/23/1934,2.589446913
9/30/1934,2.245956606
10/7/1934,2.757396029
10/14/1934,2.602591676
10/21/1934,2.429736135
10/28/1934,2.343270701
11/4/1934,2.21420783
11/11/1934,2.183212883
11/18/1934,2.141857223
11/25/1934,2.22729525
12/2/1934,4.18793226
12/9/1934,3.392885048
12/16/1934,3.03889027
12/23/1934,3.56100473
12/30/1934,3.166545555
1/6/1935,3.615974237
1/13/1935,3.176424091
1/20/1935,3.071082612
1/27/1935,3.639994197
2/3/1935,3.09185681
2/10/1935,3.100711643
2/17/1935,3.578618583
2/24/1935,3.345246267
3/3/1935,3.157320746
3/10/1935,3.107067443
3/17/1935,3.527017333
3/24/1935,3.205961823
3/31/1935,3.717691302
4/7/1935,3.768945772
4/14/1935,3.722284208
4/21/1935,3.693151611
4/28/1935,3.488327872
5/5/1935,3.126534007
5/12/1935,3.084250882
5/19/1935,3.060108311
5/26/1935,3.394013663
6/2/1935,2.857398842
6/9/1935,2.78146096
6/16/1935,2.643077442
6/23/1935,2.533441574
6/30/1935,2.361878869
7/7/1935,2.557122061
7/14/1935,3.021094157
7/21/1935,3.307461806
7/28/1935,3.078848159
8/4/1935,2.69756932
8/11/1935,2.466615567
8/18/1935,2.190331698
8/25/1935,2.112638511
9/1/1935,1.904553263
9/8/1935,3.573263916
9/15/1935,3.126261319
9/22/1935,2.409747199
9/29/1935,2.627355614
10/6/1935,2.47099817
10/13/1935,2.220813897
10/20/1935,2.140602308
10/27/1935,2.023458238
11/3/1935,2.928544347
11/10/1935,2.859096247
11/17/1935,3.150624443
11/24/1935,2.565127331
12/1/1935,2.561923855
12/8/1935,2.576514112
12/15/1935,3.515517523
12/22/1935,3.018995752
12/29/1935,2.708131841
1/5/1936,4.030029057
1/12/1936,3.942639926
1/19/1936,3.976921019
1/26/1936,3.581221244
2/2/1936,3.053351233
2/9/1936,3.828545186
2/16/1936,4.195700717
2/23/1936,3.576468049
3/1/1936,3.229940244
3/8/1936,2.90368131
3/15/1936,3.337606996
3/22/1936,4.006283301
3/29/1936,3.575060772
4/5/1936,3.950836869
4/12/1936,4.31830547
4/19/1936,3.43251232
4/26/1936,3.247629621
5/3/1936,3.045248634
5/10/1936,2.840451134
5/17/1936,2.752010013
5/24/1936,2.589379844
5/31/1936,2.425420089
6/7/1936,2.331346302
6/14/1936,3.185363641
6/21/1936,2.711984284
6/28/1936,2.597201389
7/5/1936,2.423049168
7/12/1936,2.302330929
7/19/1936,2.075145327
7/26/1936,3.540184269
8/2/1936,3.210936207
8/9/1936,3.121500752
8/16/1936,2.795462894
8/23/1936,2.761582069
8/30/1936,3.705645655
9/6/1936,2.833669736
9/13/1936,3.263034503
9/20/1936,2.711773496
9/27/1936,2.663295646
10/4/1936,3.688660041
10/11/1936,3.090452049
10/18/1936,3.33822534
10/25/1936,3.064783588
11/1/1936,2.758434966
11/8/1936,2.546332868
11/15/1936,2.898933505
11/22/1936,2.78843707
11/29/1936,2.772417065
12/6/1936,2.432038808
12/13/1936,3.384462736
12/20/1936,3.315766788
12/27/1936,2.87464414
1/3/1937,3.955427962
1/10/1937,3.684271606
1/17/1937,3.492377594
1/24/1937,4.042843173
1/31/1937,3.695028758
2/7/1937,3.634404714
2/14/1937,3.676572905
2/21/1937,3.506461736
2/28/1937,3.557379662
3/7/1937,3.393943539
3/14/1937,3.218033702
3/21/1937,3.386097481
3/28/1937,3.293645362
4/4/1937,2.960513586
4/11/1937,3.771771888
4/18/1937,3.025342738
4/25/1937,3.551619535
5/2/1937,3.904253964
5/9/1937,3.323190201
5/16/1937,3.209986585
5/23/1937,2.993321579
5/30/1937,2.873820305
6/6/1937,2.97746295
6/13/1937,3.086559133
6/20/1937,2.692855728
6/27/1937,2.51125485
7/4/1937,2.376485709
7/11/1937,2.763015967
7/18/1937,2.083538451
7/25/1937,2.037187371
8/1/1937,3.245894975
8/8/1937,3.594868577
